# Pointwise relative error of two-stream fit to Zheleznyak (1982)
# Generated:  2026-05-05T08:42:07
# Command:    Zheleznyak.py --ngroups 8 --threshold 1E-6 --write-to-file zheleznyak
# ngroups=8,  n_kept=6,  threshold=1.0e-06
# RMS relative error = 0.484 %
# 
# Columns:
#   chi            : reduced path length p_O2*r  [Pa m]
#   rel_error_pct  : |K_twostream - K_zheleznyak| / K_zheleznyak * 100  [%]
#
#                    chi           rel_error_pct
          2.34962422e-02          2.86806011e-01
          2.35898056e-02          2.86586125e-01
          2.36837416e-02          2.86365404e-01
          2.37780516e-02          2.86143845e-01
          2.38727371e-02          2.85921446e-01
          2.39677997e-02          2.85698202e-01
          2.40632409e-02          2.85474112e-01
          2.41590621e-02          2.85249171e-01
          2.42552649e-02          2.85023378e-01
          2.43518507e-02          2.84796728e-01
          2.44488212e-02          2.84569220e-01
          2.45461778e-02          2.84340849e-01
          2.46439221e-02          2.84111613e-01
          2.47420556e-02          2.83881508e-01
          2.48405799e-02          2.83650533e-01
          2.49394965e-02          2.83418682e-01
          2.50388070e-02          2.83185954e-01
          2.51385130e-02          2.82952345e-01
          2.52386160e-02          2.82717852e-01
          2.53391176e-02          2.82482471e-01
          2.54400194e-02          2.82246201e-01
          2.55413230e-02          2.82009037e-01
          2.56430300e-02          2.81770976e-01
          2.57451420e-02          2.81532015e-01
          2.58476607e-02          2.81292151e-01
          2.59505875e-02          2.81051381e-01
          2.60539243e-02          2.80809702e-01
          2.61576725e-02          2.80567110e-01
          2.62618338e-02          2.80323601e-01
          2.63664100e-02          2.80079174e-01
          2.64714025e-02          2.79833824e-01
          2.65768132e-02          2.79587548e-01
          2.66826435e-02          2.79340343e-01
          2.67888954e-02          2.79092206e-01
          2.68955703e-02          2.78843133e-01
          2.70026700e-02          2.78593122e-01
          2.71101962e-02          2.78342168e-01
          2.72181505e-02          2.78090268e-01
          2.73265347e-02          2.77837419e-01
          2.74353506e-02          2.77583619e-01
          2.75445997e-02          2.77328862e-01
