# Convolution of a Gaussian source with Zheleznyak and two-stream kernels
# Generated:  2026-05-05T08:42:07
# Command:    Zheleznyak.py --ngroups 8 --threshold 1E-6 --write-to-file zheleznyak
# ngroups=8,  n_kept=6,  threshold=1.0e-06
# Source: Gaussian centred at 0.3*x_max, sigma = 0.04*x_max
# x_max = 1.523680e+02 Pa m  (= 4 / lambda1)
# All convolution values normalised by max(conv_zheleznyak)
# 
# Columns:
#   x                  : reduced coordinate p_O2*r  [Pa m]
#   source             : normalised Gaussian source (max = 1)  [dimensionless]
#   conv_zheleznyak    : photoionisation rate, Zheleznyak kernel, normalised  [dimensionless]
#   conv_twostream     : photoionisation rate, two-stream kernel, normalised  [dimensionless]
#
#                      x                  source         conv_zheleznyak          conv_twostream
          4.88391586e+01          7.68451988e-01          8.46900989e-01          8.47028339e-01
          4.90935292e+01          7.34937251e-01          8.23991366e-01          8.24121440e-01
          4.93478998e+01          7.00439737e-01          8.00174029e-01          8.00306628e-01
          4.96022705e+01          6.65239895e-01          7.75607426e-01          7.75742247e-01
          4.98566411e+01          6.29611700e-01          7.50448923e-01          7.50585558e-01
          5.01110117e+01          5.93819271e-01          7.24853088e-01          7.24991011e-01
          5.03653823e+01          5.58113822e-01          6.98970092e-01          6.99108662e-01
          5.06197529e+01          5.22731009e-01          6.72944261e-01          6.73082717e-01
          5.08741235e+01          4.87888681e-01          6.46912792e-01          6.47050254e-01
          5.11284942e+01          4.53785084e-01          6.21004648e-01          6.21140121e-01
          5.13828648e+01          4.20597496e-01          5.95339638e-01          5.95472015e-01
          5.16372354e+01          3.88481323e-01          5.70027684e-01          5.70155757e-01
          5.18916060e+01          3.57569608e-01          5.45168287e-01          5.45290756e-01
          5.21459766e+01          3.27972966e-01          5.20850171e-01          5.20965659e-01
          5.24003472e+01          2.99779886e-01          4.97151111e-01          4.97258178e-01
          5.26547179e+01          2.73057385e-01          4.74137929e-01          4.74235090e-01
          5.29090885e+01          2.47851960e-01          4.51866643e-01          4.51952391e-01
          5.31634591e+01          2.24190797e-01          4.30382759e-01          4.30455581e-01
          5.34178297e+01          2.02083195e-01          4.09721685e-01          4.09780088e-01
          5.36722003e+01          1.81522144e-01          3.89909247e-01          3.89951782e-01
          5.39265710e+01          1.62486026e-01          3.70962298e-01          3.70987579e-01
          5.41809416e+01          1.44940387e-01          3.52889388e-01          3.52896118e-01
          5.44353122e+01          1.28839731e-01          3.35691489e-01          3.35678482e-01
          5.46896828e+01          1.14129312e-01          3.19362753e-01          3.19328953e-01
          5.49440534e+01          1.00746874e-01          3.03891277e-01          3.03835780e-01
          5.51984240e+01          8.86243281e-02          2.89259888e-01          2.89181954e-01
          5.54527947e+01          7.76893208e-02          2.75446894e-01          2.75345968e-01
          5.57071653e+01          6.78666931e-02          2.62426829e-01          2.62302550e-01
          5.59615359e+01          5.90798039e-02          2.50171158e-01          2.50023365e-01
          5.62159065e+01          5.12517143e-02          2.38648939e-01          2.38477683e-01
          5.64702771e+01          4.43062242e-02          2.27827442e-01          2.27632984e-01
          5.67246477e+01          3.81687625e-02          2.17672714e-01          2.17455527e-01
          5.69790184e+01          3.27671307e-02          2.08150089e-01          2.07910854e-01
          5.72333890e+01          2.80321068e-02          1.99224642e-01          1.98964242e-01
          5.74877596e+01          2.38979176e-02          1.90861588e-01          1.90581098e-01
          5.77421302e+01          2.03025867e-02          1.83026622e-01          1.82727297e-01
          5.79965008e+01          1.71881717e-02          1.75686211e-01          1.75369475e-01
          5.82508715e+01          1.45009009e-02          1.68807831e-01          1.68475257e-01
          5.85052421e+01          1.21912232e-02          1.62360157e-01          1.62013450e-01
          5.87596127e+01          1.02137817e-02          1.56313208e-01          1.55954189e-01
          5.90139833e+01          8.52732578e-03          1.50638460e-01          1.50269044e-01
          5.92683539e+01          7.09457089e-03          1.45308915e-01          1.44931089e-01
          5.95227245e+01          5.88201875e-03          1.40299140e-01          1.39914944e-01
          5.97770952e+01          4.85974711e-03          1.35585282e-01          1.35196789e-01
          6.00314658e+01          4.00117853e-03          1.31145064e-01          1.30754356e-01
          6.02858364e+01          3.28283597e-03          1.26957747e-01          1.26566901e-01
          6.05402070e+01          2.68409220e-03          1.23004098e-01          1.22615160e-01
