# Zheleznyak (1982) absorption curve and two-stream fit
# Generated:  2026-05-05T08:42:07
# Command:    Zheleznyak.py --ngroups 8 --threshold 1E-6 --write-to-file zheleznyak
# ngroups=8,  n_kept=6,  threshold=1.0e-06
# lambda1 = 2.625223e-02 m^-1 Pa^-1,  lambda2 = 1.500128e+00 m^-1 Pa^-1
# RMS relative error = 0.484 %
# 
# Columns:
#   chi            : reduced path length p_O2*r  [Pa m]
#   K_zheleznyak   : Zheleznyak (1982) absorption function  [m^-1 Pa^-1]
#   K_twostream    : two-stream fit, integral-normalised to K_zheleznyak  [m^-1 Pa^-1]
#   group_1_kappa2.689e-02: group 1: kappa=2.6888e-02 m^-1 Pa^-1,  g=1.5808e-02  [m^-1 Pa^-1]
#   group_2_kappa3.061e-02: group 2: kappa=3.0612e-02 m^-1 Pa^-1,  g=5.4157e-02  [m^-1 Pa^-1]
#   group_3_kappa4.482e-02: group 3: kappa=4.4820e-02 m^-1 Pa^-1,  g=1.4351e-01  [m^-1 Pa^-1]
#   group_4_kappa1.002e-01: group 4: kappa=1.0021e-01 m^-1 Pa^-1,  g=2.4996e-01  [m^-1 Pa^-1]
#   group_5_kappa3.157e-01: group 5: kappa=3.1572e-01 m^-1 Pa^-1,  g=3.0500e-01  [m^-1 Pa^-1]
#   group_6_kappa1.007e+00: group 6: kappa=1.0071e+00 m^-1 Pa^-1,  g=2.3157e-01  [m^-1 Pa^-1]
#
#                      chi              K_zheleznyak               K_twostream    group_1_kappa2.689e-02    group_2_kappa3.061e-02    group_3_kappa4.482e-02    group_4_kappa1.002e-01    group_5_kappa3.157e-01    group_6_kappa1.007e+00
            9.53251392e-03            1.46320361e+00            1.45852021e+00            1.71905934e-03            6.70493532e-03            2.60093490e-02            1.01240615e-01            3.88387099e-01            9.34459152e-01
            9.57047294e-03            1.46316131e+00            1.45847939e+00            1.71905759e-03            6.70492753e-03            2.60093047e-02            1.01240230e-01            3.88382445e-01            9.34423430e-01
            9.60858311e-03            1.46311886e+00            1.45843842e+00            1.71905583e-03            6.70491971e-03            2.60092603e-02            1.01239843e-01            3.88377772e-01            9.34387567e-01
            9.64684504e-03            1.46307623e+00            1.45839728e+00            1.71905406e-03            6.70491185e-03            2.60092157e-02            1.01239455e-01            3.88373080e-01            9.34351563e-01
            9.68525933e-03            1.46303343e+00            1.45835598e+00            1.71905228e-03            6.70490397e-03            2.60091709e-02            1.01239065e-01            3.88368370e-01            9.34315417e-01
            9.72382659e-03            1.46299047e+00            1.45831452e+00            1.71905050e-03            6.70489605e-03            2.60091259e-02            1.01238674e-01            3.88363641e-01            9.34279128e-01
            9.76254742e-03            1.46294734e+00            1.45827289e+00            1.71904871e-03            6.70488811e-03            2.60090808e-02            1.01238281e-01            3.88358893e-01            9.34242696e-01
            9.80142244e-03            1.46290404e+00            1.45823110e+00            1.71904692e-03            6.70488013e-03            2.60090355e-02            1.01237887e-01            3.88354127e-01            9.34206120e-01
            9.84045227e-03            1.46286056e+00            1.45818914e+00            1.71904511e-03            6.70487212e-03            2.60089900e-02            1.01237491e-01            3.88349342e-01            9.34169401e-01
            9.87963751e-03            1.46281692e+00            1.45814702e+00            1.71904330e-03            6.70486407e-03            2.60089443e-02            1.01237093e-01            3.88344537e-01            9.34132536e-01
            9.91897880e-03            1.46277310e+00            1.45810473e+00            1.71904148e-03            6.70485600e-03            2.60088985e-02            1.01236694e-01            3.88339714e-01            9.34095526e-01
            9.95847674e-03            1.46272911e+00            1.45806227e+00            1.71903966e-03            6.70484789e-03            2.60088524e-02            1.01236293e-01            3.88334871e-01            9.34058370e-01
            9.99813196e-03            1.46268495e+00            1.45801965e+00            1.71903782e-03            6.70483975e-03            2.60088062e-02            1.01235891e-01            3.88330009e-01            9.34021068e-01
            1.00379451e-02            1.46264061e+00            1.45797686e+00            1.71903598e-03            6.70483158e-03            2.60087598e-02            1.01235487e-01            3.88325128e-01            9.33983619e-01
            1.00779168e-02            1.46259610e+00            1.45793390e+00            1.71903413e-03            6.70482338e-03            2.60087132e-02            1.01235082e-01            3.88320228e-01            9.33946022e-01
            1.01180476e-02            1.46255141e+00            1.45789077e+00            1.71903228e-03            6.70481514e-03            2.60086664e-02            1.01234675e-01            3.88315308e-01            9.33908277e-01
            1.01583383e-02            1.46250655e+00            1.45784747e+00            1.71903042e-03            6.70480687e-03            2.60086194e-02            1.01234266e-01            3.88310368e-01            9.33870383e-01
            1.01987893e-02            1.46246151e+00            1.45780400e+00            1.71902855e-03            6.70479857e-03            2.60085723e-02            1.01233855e-01            3.88305409e-01            9.33832339e-01
            1.02394015e-02            1.46241629e+00            1.45776036e+00            1.71902667e-03            6.70479023e-03            2.60085249e-02            1.01233443e-01            3.88300430e-01            9.33794146e-01
            1.02801754e-02            1.46237089e+00            1.45771655e+00            1.71902479e-03            6.70478187e-03            2.60084774e-02            1.01233030e-01            3.88295432e-01            9.33755803e-01
            1.03211116e-02            1.46232532e+00            1.45767256e+00            1.71902289e-03            6.70477346e-03            2.60084297e-02            1.01232614e-01            3.88290413e-01            9.33717308e-01
            1.03622109e-02            1.46227956e+00            1.45762840e+00            1.71902099e-03            6.70476503e-03            2.60083818e-02            1.01232197e-01            3.88285375e-01            9.33678661e-01
            1.04034738e-02            1.46223363e+00            1.45758407e+00            1.71901909e-03            6.70475656e-03            2.60083337e-02            1.01231779e-01            3.88280317e-01            9.33639863e-01
            1.04449010e-02            1.46218751e+00            1.45753956e+00            1.71901717e-03            6.70474806e-03            2.60082854e-02            1.01231359e-01            3.88275238e-01            9.33600911e-01
            1.04864932e-02            1.46214121e+00            1.45749487e+00            1.71901525e-03            6.70473952e-03            2.60082369e-02            1.01230937e-01            3.88270140e-01            9.33561806e-01
