BOLSIG+ version: 11/2019
Collision input data:
--------------------------------------------------
N2                                                              
C:\Users\robertm\OneDrive - SINTEF\bolsigplus122019-win\Lisbon-N2-O2-02June2026.txt
--------------------------------------------------
O2                                                              
C:\Users\robertm\OneDrive - SINTEF\bolsigplus122019-win\Lisbon-N2-O2-02June2026.txt
 
 
 
 Conditions
A1     Electric field / N (Td)                                         
A2     Angular frequency / N (m3/s)               0.000    
A3     Cosine of E-B field angle                  0.000    
A4     Gas temperature (K)                        300.0    
A5     Excitation temperature (K)                 300.0    
A6     Transition energy (eV)                     0.000    
A7     Ionization degree                          0.000    
A8     Plasma density (1/m3)                     0.1000E+19
A9     Ion charge parameter                       0.000    
A10    Ion/neutral mass ratio                     1.000    
A11    Coulomb collision model                    1.000    
A12    Energy sharing                             1.000    
A13    Growth model                               1.000    
A14    Maxwellian mean energy (eV)                0.000    
A15    # of grid points                           100.0    
A16    Grid type                                                       
A17    Maximum energy                                                  
A18    Precision                                 0.1000E-09
A19    Convergence                               0.1000E-04
A20    Maximum # of iterations                    2000.    
A21    Mole fraction N2                          0.7900    
A22    Mole fraction O2                          0.2100    
          R#      A1         A16         A17    
         342  0.1260E+05   3.000      0.1000E+05
         343  0.1295E+05   3.000      0.1000E+05
         344  0.1331E+05   3.000      0.1000E+05
         345  0.1369E+05   3.000      0.1000E+05
         346  0.1407E+05   3.000      0.1000E+05
         347  0.1447E+05   3.000      0.1000E+05
         348  0.1487E+05   3.000      0.1000E+05
         349  0.1529E+05   3.000      0.1000E+05
         350  0.1572E+05   3.000      0.1000E+05
         351  0.1616E+05   3.000      0.1000E+05
         352  0.1661E+05   3.000      0.1000E+05
         353  0.1708E+05   3.000      0.1000E+05
         354  0.1756E+05   3.000      0.1000E+05
         355  0.1805E+05   3.000      0.1000E+05
         356  0.1856E+05   3.000      0.1000E+05
         357  0.1908E+05   3.000      0.1000E+05
         358  0.1961E+05   3.000      0.1000E+05
         359  0.2017E+05   3.000      0.1000E+05
         360  0.2073E+05   3.000      0.1000E+05
         361  0.2131E+05   3.000      0.1000E+05
         362  0.2191E+05   3.000      0.1000E+05
         363  0.2253E+05   3.000      0.1000E+05
         364  0.2316E+05   3.000      0.1000E+05
         365  0.2381E+05   3.000      0.1000E+05
         366  0.2448E+05   3.000      0.1000E+05
         367  0.2517E+05   3.000      0.1000E+05
         368  0.2587E+05   3.000      0.1000E+05
         369  0.2660E+05   3.000      0.1000E+05
         370  0.2734E+05   3.000      0.1000E+05
         371  0.2811E+05   3.000      0.1000E+05
         372  0.2890E+05   3.000      0.1000E+05
         373  0.2971E+05   3.000      0.1000E+05
         374  0.3055E+05   3.000      0.1000E+05
         375  0.3140E+05   3.000      0.1000E+05
         376  0.3229E+05   3.000      0.1000E+05
         377  0.3319E+05   3.000      0.1000E+05
         378  0.3412E+05   3.000      0.1000E+05
         379  0.3508E+05   3.000      0.1000E+05
         380  0.3607E+05   3.000      0.1000E+05
         381  0.3708E+05   3.000      0.1000E+05
         382  0.3812E+05   3.000      0.1000E+05
         383  0.3919E+05   3.000      0.1000E+05
         384  0.4029E+05   3.000      0.1000E+05
         385  0.4142E+05   3.000      0.1000E+05
         386  0.4259E+05   3.000      0.1000E+05
         387  0.4378E+05   3.000      0.1000E+05
         388  0.4501E+05   3.000      0.1000E+05
         389  0.4627E+05   3.000      0.1000E+05
         390  0.4757E+05   3.000      0.1000E+05
         391  0.4891E+05   3.000      0.1000E+05
         392  0.5028E+05   3.000      0.1000E+05
         393  0.5169E+05   3.000      0.1000E+05
         394  0.5314E+05   3.000      0.1000E+05
         395  0.5464E+05   3.000      0.1000E+05
         396  0.5617E+05   3.000      0.1000E+05
         397  0.5775E+05   3.000      0.1000E+05
         398  0.5937E+05   3.000      0.1000E+05
         399  0.6103E+05   3.000      0.1000E+05
         400  0.6275E+05   3.000      0.1000E+05
         401  0.6451E+05   3.000      0.1000E+05
         402  0.6632E+05   3.000      0.1000E+05
         403  0.6818E+05   3.000      0.1000E+05
         404  0.7010E+05   3.000      0.1000E+05
         405  0.7206E+05   3.000      0.1000E+05
         406  0.7409E+05   3.000      0.1000E+05
         407  0.7617E+05   3.000      0.1000E+05
         408  0.7830E+05   3.000      0.1000E+05
         409  0.8050E+05   3.000      0.1000E+05
         410  0.8276E+05   3.000      0.1000E+05
         411  0.8509E+05   3.000      0.1000E+05
         412  0.8747E+05   3.000      0.1000E+05
         413  0.8993E+05   3.000      0.1000E+05
         414  0.9246E+05   3.000      0.1000E+05
         415  0.9505E+05   3.000      0.1000E+05
         416  0.9772E+05   3.000      0.1000E+05
         417  0.1005E+06   3.000      0.1000E+05
         418  0.1033E+06   3.000      0.1000E+05
         419  0.1062E+06   3.000      0.1000E+05
         420  0.1092E+06   3.000      0.1000E+05
         421  0.1122E+06   3.000      0.1000E+05
         422  0.1154E+06   3.000      0.1000E+05
         423  0.1186E+06   3.000      0.1000E+05
         424  0.1219E+06   3.000      0.1000E+05
         425  0.1254E+06   3.000      0.1000E+05
         426  0.1289E+06   3.000      0.1000E+05
         427  0.1325E+06   3.000      0.1000E+05
         428  0.1362E+06   3.000      0.1000E+05
         429  0.1401E+06   3.000      0.1000E+05
         430  0.1440E+06   3.000      0.1000E+05
         431  0.1480E+06   3.000      0.1000E+05
         432  0.1522E+06   3.000      0.1000E+05
         433  0.1565E+06   3.000      0.1000E+05
         434  0.1608E+06   3.000      0.1000E+05
         435  0.1654E+06   3.000      0.1000E+05
         436  0.1700E+06   3.000      0.1000E+05
         437  0.1748E+06   3.000      0.1000E+05
         438  0.1797E+06   3.000      0.1000E+05
         439  0.1847E+06   3.000      0.1000E+05
         440  0.1899E+06   3.000      0.1000E+05
         441  0.1952E+06   3.000      0.1000E+05
         442  0.2007E+06   3.000      0.1000E+05
         443  0.2064E+06   3.000      0.1000E+05
         444  0.2122E+06   3.000      0.1000E+05
         445  0.2181E+06   3.000      0.1000E+05
         446  0.2242E+06   3.000      0.1000E+05
         447  0.2305E+06   3.000      0.1000E+05
         448  0.2370E+06   3.000      0.1000E+05
         449  0.2437E+06   3.000      0.1000E+05
         450  0.2505E+06   3.000      0.1000E+05
         451  0.2575E+06   3.000      0.1000E+05
         452  0.2648E+06   3.000      0.1000E+05
         453  0.2722E+06   3.000      0.1000E+05
         454  0.2798E+06   3.000      0.1000E+05
         455  0.2877E+06   3.000      0.1000E+05
         456  0.2958E+06   3.000      0.1000E+05
         457  0.3041E+06   3.000      0.1000E+05
